Region,Site,Species,Treatment,Time,Nubbin,Nubbin ID,Protein cm2,Dino.density,Chla cell,Chla cm2,Pocilloporin,Holobiont,Time2
Heron,Coral Canyons,Stylophora,Adult,After,original,HA067,0.943429255,1.014093816,0.517495738,0.524789228,0.351381081,C8 groupH,During-After
Heron,Coral Canyons,Stylophora,Adult,After,original,HA068,0.903741261,0.396622882,2.341914759,0.928856981,0.56999965,C8 groupH,During-After
Heron,Coral Canyons,Stylophora,Adult,After,original,HA071,1.653934983,2.262584915,0.429544387,0.971880651,1.75259646,C78a,During-After
Heron,Pam's Point,Stylophora,Adult,After,original,HA083,0.939611428,0.919527951,0.443090186,0.407433811,0.807331389,C8 groupH,During-After
Heron,Pam's Point,Stylophora,Adult,After,original,HA086,0.653655241,1.471328007,0.426573233,0.627629145,0.997663816,C8 groupH,During-After
Heron,Harry's Bommie,Pocillopora,Juvenile,After,original,HJ003,1.355843084,0.794885499,1.949438547,1.549580433,1.333980888,PdamC. latusorum,During-After
Heron,Harry's Bommie,Pocillopora,Juvenile,After,new,HJ006,0.773941868,0.990312551,2.341225039,2.318544541,0.722385748,PdamC. latusorum,During-After
Heron,Harry's Bommie,Pocillopora,Juvenile,After,original,HJ008,0.785441591,0.583451922,2.019975969,1.178558862,0.459067748,PdamC. latusorum,During-After
Heron,Coral Canyons,Pocillopora,Juvenile,After,new,HJ021,2.142989432,0.820588399,2.856340161,2.343879601,5.692072157,PdamC33a_sGBR,During-After
Heron,Pam's Point,Pocillopora,Juvenile,After,new,HJ038,0.995492448,0.39818756,4.913872774,1.956643011,2.491529865,PdamC33a_sGBR,During-After
Heron,Pam's Point,Pocillopora,Juvenile,After,new,HJ039,1.462059174,1.975695925,2.519014295,4.976806278,1.664480433,PdamC33a_sGBR,During-After
Heron,Harry's Bommie,Stylophora,Juvenile,After,original,HJ050,1.944552391,1.304893077,1.973722409,2.575496708,1.023981231,C78a,During-After
Heron,Harry's Bommie,Stylophora,Juvenile,After,original,HJ051,1.300581025,0.583135934,2.101024691,1.225182996,1.179365555,C78a,During-After
Heron,Harry's Bommie,Stylophora,Juvenile,After,original,HJ052,3.574300049,1.137702589,2.007977912,2.284481669,11.0915945,C78a,During-After
Heron,Harry's Bommie,Stylophora,Juvenile,After,original,HJ053,0.986506892,0.483483932,2.315254146,1.119388179,0.412420932,C78a,During-After
Heron,Harry's Bommie,Stylophora,Juvenile,After,original,HJ055,0.972886497,0.712608062,1.742014711,1.241373728,0.706647576,C78a,During-After
Heron,Coral Canyons,Stylophora,Juvenile,After,original,HJ065,0.707224061,0.70362978,1.584188515,1.114682217,0.549933914,C78a,During-After
Heron,Coral Canyons,Stylophora,Juvenile,After,original,HJ066,0.881606562,0.694133478,1.614303015,1.120541766,0.934407637,C78a,During-After
Heron,Coral Canyons,Stylophora,Juvenile,After,original,HJ067,0.485128789,0.502900247,1.717862485,0.863913468,0.213329506,C78a,During-After
Heron,Coral Canyons,Stylophora,Juvenile,After,original,HJ071,1.154494679,1.029824743,1.296760581,1.335436132,1.589783094,C78a,During-After
Heron,Pam's Point,Stylophora,Juvenile,After,original,HJ081,0.754894608,0.2883819,2.148869955,0.619695199,1.57415688,C8 groupH,During-After
Heron,Harry's Bommie,Pocillopora,Adult,Before,original,HA001,0.821340644,0.789438084,1.485403413,1.172634024,,PdamC33a_sGBR,Before
Heron,Harry's Bommie,Pocillopora,Adult,Before,original,HA004,0.909153721,0.939233368,1.832923846,1.721543237,,PdamC33a_sGBR,Before
Heron,Harry's Bommie,Pocillopora,Adult,Before,original,HA005,0.582298652,0.578887215,1.279159375,0.740489008,,PdamC33a_sGBR,Before
Heron,Coral Canyons,Pocillopora,Adult,Before,original,HA017,0.767001954,0.197047553,5.723402062,1.12778237,,PdamC33a_sGBR,Before
Heron,Coral Canyons,Pocillopora,Adult,Before,original,HA018,0.73759056,0.679079188,1.612553731,1.095051679,,PdamC33a_sGBR,Before
Heron,Coral Canyons,Pocillopora,Adult,Before,original,HA019,0.622232875,0.796949204,1.908963793,1.521347175,,PdamC33a_sGBR,Before
Heron,Coral Canyons,Pocillopora,Adult,Before,original,HA023,0.601198501,0.747702376,1.742981021,1.303231051,,PdamC33a_sGBR,Before
Heron,Pam's Point,Pocillopora,Adult,Before,original,HA034,0.551103722,0.741240047,1.538246525,1.140209927,,PdamC33a_sGBR,Before
Heron,Pam's Point,Pocillopora,Adult,Before,original,HA038,0.518877972,0.3148696,5.565863187,1.752521117,,PdamC33a_sGBR,Before
Heron,Pam's Point,Pocillopora,Adult,Before,original,HA039,0.480789727,0.923146075,2.465711674,2.276212053,,PdamC33a_sGBR,Before
Heron,Harry's Bommie,Stylophora,Adult,Before,original,HA050,0.300739889,0.441425516,1.139999338,0.503224796,,C78a,Before
Heron,Harry's Bommie,Stylophora,Adult,Before,original,HA051,0.495472217,0.837714216,1.474566376,1.235265216,,C78a,Before
Heron,Coral Canyons,Stylophora,Adult,Before,original,HA066,0.577788205,1.032562515,1.268933681,1.310253353,,C78a,Before
Heron,Coral Canyons,Stylophora,Adult,Before,original,HA067,0.643964759,1.112509325,1.603226354,1.783604269,,C8 groupH,Before
Heron,Coral Canyons,Stylophora,Adult,Before,original,HA068,0.867312191,1.918645291,2.307724817,4.427705352,,C8 groupH,Before
