Region,Site,Species,Treatment,Nubbin ID,Rack..,Survival,Percentage.dead,Color1,Color2,Color.Average,Y,,Symbiont.ID,SymbiontID_KB,Coral.ID,CoralID_KB,Holobiont
Heron,Coral Canyons,Stylophora,Adult,HA068,7,1,12,4,5,4.5,,,C8a,C8,,C8,C8 group
Heron,Coral Canyons,Stylophora,Adult,HA069,7,0,100,,,,,,C35a+,C35,,C35,C35a group
Heron,Coral Canyons,Stylophora,Adult,HA070,10,0,100,,,,,,C35a,C35,,C35,C35a group
Heron,Coral Canyons,Stylophora,Adult,HA071,12,1,70,3,3,3,,,C78a,C78,,C78,C78a
Heron,Coral Canyons,Stylophora,Adult,HA072,10,1,80,2,,2,,,,,,,
Heron,Coral Canyons,Stylophora,Adult,HA073,7,1,70,2,,2,,,,,,,
Heron,Coral Canyons,Stylophora,Adult,HA074,9,0,100,,,,,,,,,,
Heron,Coral Canyons,Stylophora,Adult,HA075,11,0,100,,,,,,,,,,
Heron,Coral Canyons,Stylophora,Adult,HA076,10,0,100,,,,,,,,,,
Heron,Coral Canyons,Stylophora,Adult,HA077,12,1,9,4,3,3.5,,,,,,,
Heron,Coral Canyons,Stylophora,Adult,HA078,7,1,5,2,2,2,,,,,,,
Heron,Coral Canyons,Stylophora,Adult,HA079,9,0,100,,,,,,,,,,
Heron,Coral Canyons,Stylophora,Adult,HA080,9,1,35,3,4,3.5,,,,,,,
Heron,Pam's Point,Stylophora,Adult,HA081,16,0,100,,,,,,C8a,C8,,C8,C8 group
Heron,Pam's Point,Stylophora,Adult,HA082,15,1,15,5,3,4,,,C8a,C8,,C8,C8 group
Heron,Pam's Point,Stylophora,Adult,HA083,16,1,65,2,2,2,,,C8a,C8,,C8,C8 group
Heron,Pam's Point,Stylophora,Adult,HA084,13,0,100,,,,,,C8a,C8,,C8,C8 group
Heron,Pam's Point,Stylophora,Adult,HA085,13,0,100,,,,,,C8a,C8,,C8,C8 group
Heron,Pam's Point,Stylophora,Adult,HA086,13,1,50,3,2,2.5,,,C8a,C8,,C8,C8 group
Heron,Pam's Point,Stylophora,Adult,HA087,18,0,100,,,,,,C8a,C8,,C8,C8 group
Heron,Pam's Point,Stylophora,Adult,HA088,18,1,35,4,3,3.5,,,C8a,C8,,C8,C8 group
Heron,Pam's Point,Stylophora,Adult,HA089,14,0,100,,,,,,,,,,
Heron,Pam's Point,Stylophora,Adult,HA090,14,1,25,4,3,3.5,,,,,,,
Heron,Pam's Point,Stylophora,Adult,HA091,18,0,100,,,,,,,,,,
Heron,Pam's Point,Stylophora,Adult,HA092,13,1,87,4,4,4,,,,,,,
Heron,Pam's Point,Stylophora,Adult,HA093,14,1,20,4,3,3.5,,,,,,,
Heron,Pam's Point,Stylophora,Adult,HA094,18,1,40,4,2,3,,,,,,,
Heron,Pam's Point,Stylophora,Adult,HA095,14,0,100,,,,,,,,,,
Heron,Pam's Point,Stylophora,Adult,HA096,13,1,15,4,3,3.5,,,,,,,
Heron,Harry's Bommie,Pocillopora,Juvenile,HJ001,4,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Harry's Bommie,Pocillopora,Juvenile,HJ002,5,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Harry's Bommie,Pocillopora,Juvenile,HJ003,3,1,35,5,4,4.5,,,C33a,C33,Pdam,Pdam,PdamC. latusorum
Heron,Harry's Bommie,Pocillopora,Juvenile,HJ004,6,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Harry's Bommie,Pocillopora,Juvenile,HJ005,3,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Harry's Bommie,Pocillopora,Juvenile,HJ006,4,0,100,,,,,,C1b-c,C1,Pdam,Pdam,PdamC. latusorum
Heron,Harry's Bommie,Pocillopora,Juvenile,HJ007,1,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Harry's Bommie,Pocillopora,Juvenile,HJ008,5,1,10,2,3,2.5,,,C1b-c,C1,Pdam,Pdam,PdamC. latusorum
Heron,Harry's Bommie,Pocillopora,Juvenile,HJ009,5,1,40,4,4,4,,,,,,,
Heron,Harry's Bommie,Pocillopora,Juvenile,HJ010,2,1,7,4,2,3,,,,,,,
Heron,Harry's Bommie,Pocillopora,Juvenile,HJ011,2,0,100,,,,,,,,,,
Heron,Harry's Bommie,Pocillopora,Juvenile,HJ012,2,0,100,,,,,,,,,,
Heron,Harry's Bommie,Pocillopora,Juvenile,HJ013,6,1,65,2,3,2.5,,,,,,,
Heron,Harry's Bommie,Pocillopora,Juvenile,HJ014,1,0,100,,,,,,,,,,
Heron,Harry's Bommie,Pocillopora,Juvenile,HJ015,4,0,100,,,,,,,,,,
Heron,Harry's Bommie,Pocillopora,Juvenile,HJ016,3,1,10,5,5,5,,,,,,,
Heron,Coral Canyons,Pocillopora,Juvenile,HJ017,9,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Coral Canyons,Pocillopora,Juvenile,HJ018,12,0,100,,,,,,C33a,C33,Pdam,Pdam,PdamC. latusorum
Heron,Coral Canyons,Pocillopora,Juvenile,HJ019,7,0,100,,,,,,C33a,C33,Pnew (rel Pdam),Pdam,Pnew (rel Pdam)C33a_sGBR
Heron,Coral Canyons,Pocillopora,Juvenile,HJ020,9,0,100,,,,,,C33a,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Coral Canyons,Pocillopora,Juvenile,HJ021,7,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Coral Canyons,Pocillopora,Juvenile,HJ022,9,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Coral Canyons,Pocillopora,Juvenile,HJ023,9,0,100,,,,,,C33a,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Coral Canyons,Pocillopora,Juvenile,HJ024,11,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Coral Canyons,Pocillopora,Juvenile,HJ025,10,0,100,,,,,,,,,,
Heron,Coral Canyons,Pocillopora,Juvenile,HJ026,7,0,100,,,,,,,,,,
Heron,Coral Canyons,Pocillopora,Juvenile,HJ027,8,0,100,,,,,,,,,,
Heron,Coral Canyons,Pocillopora,Juvenile,HJ028,12,0,100,,,,,,,,,,
Heron,Coral Canyons,Pocillopora,Juvenile,HJ029,8,0,100,,,,,,,,,,
Heron,Coral Canyons,Pocillopora,Juvenile,HJ030,11,0,100,,,,,,,,,,
Heron,Coral Canyons,Pocillopora,Juvenile,HJ031,7,0,100,,,,,,,,,,
Heron,Coral Canyons,Pocillopora,Juvenile,HJ032,8,0,100,,,,,,,,,,
Heron,Pam's Point,Pocillopora,Juvenile,HJ033,16,0,100,,,,,,C33a,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Pam's Point,Pocillopora,Juvenile,HJ034,14,0,100,,,,,,C33a,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Pam's Point,Pocillopora,Juvenile,HJ035,14,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Pam's Point,Pocillopora,Juvenile,HJ036,17,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Pam's Point,Pocillopora,Juvenile,HJ037,16,0,100,,,,,,C33a,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Pam's Point,Pocillopora,Juvenile,HJ038,14,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Pam's Point,Pocillopora,Juvenile,HJ039,18,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
