Holobiont,Species,Time,Region,Treatment,Sample_ID,Nubbin_ID,host_d15N,host_d13C,host_CN_molar,sym_d15N,sym_d13C,sym_CN_molar
PdamC33a_sGBR,Pocillopora,Before,Heron,Adult,HA018,HA018,4.5,-19.1,5.4,3.9,-15.9,7.9
PdamC33a_sGBR,Pocillopora,Before,Heron,Adult,HA019,HA019,4.3,-16.7,5.2,3.1,-16.3,7.5
PdamC33a_sGBR,Pocillopora,Before,Heron,Adult,HA023,HA023,4.3,-16.5,5.3,3.9,-13.8,7.9
PdamC33a_sGBR,Pocillopora,Before,Heron,Adult,HA034,HA034,4.7,-16.1,5.2,2.9,-15.8,8
PdamC33a_sGBR,Pocillopora,Before,Heron,Adult,HA038,HA038,4.3,-17,5.2,2.7,-15.2,9.5
PdamC33a_sGBR,Pocillopora,Before,Heron,Adult,HA039,HA039,5.1,-17.8,5.3,3.7,-18,6.8
C78a,Stylophora,Before,Heron,Adult,HA050,HA050,4.3,-16,5.3,3.9,-18.4,7.2
C78a,Stylophora,Before,Heron,Adult,HA051,HA051,5,-15.6,5.2,3.6,-15.6,6.9
C78a,Stylophora,Before,Heron,Adult,HA053,HA053,4.4,-17.4,5.3,4.1,-17.2,7.2
C78a,Stylophora,Before,Heron,Adult,HA066,HA066,4.1,-16.5,5.2,3.9,-16.6,5.9
C8 groupH,Stylophora,Before,Heron,Adult,HA067,HA067,4.5,-17,5.1,3.7,-17.1,6.2
C8 groupH,Stylophora,Before,Heron,Adult,HA068,HA068,5.2,-16,5.2,3,-15.8,6.5
C78a,Stylophora,Before,Heron,Adult,HA071,HA071,4.6,-15.1,5.1,3.8,-16,6.7
C8 groupH,Stylophora,Before,Heron,Adult,HA082,HA082,5.2,-16.1,5.2,,,
C8 groupH,Stylophora,Before,Heron,Adult,HA083,HA083,4.9,-15.9,5.2,3.8,-15.6,6
C8 groupH,Stylophora,Before,Heron,Adult,HA086,HA086,5.4,-16.7,5.4,3.7,-16.6,6.5
C8 groupH,Stylophora,Before,Heron,Adult,HA087,HA087,4.8,-16.4,4.9,3.9,-16.2,6.2
PdamC33a_sGBR,Pocillopora,Before,Heron,Juvenile,HJ001,HJ001,3.4,-16.8,5.3,0.4,-18.6,6.9
PdamC33a_sGBR,Pocillopora,Before,Heron,Juvenile,HJ002,HJ002,4,-17.2,5.4,3.3,-17.4,7.3
PdamC33a_sGBR,Pocillopora,Before,Heron,Juvenile,HJ003,HJ003,4.6,-15.6,5.4,,,
PdamC. latusorum,Pocillopora,Before,Heron,Juvenile,HJ008,HJ008,3.9,-17.1,5.3,1.4,-17.6,8.2
